person_id,name,birth_date,birth_place,occupation,education,nationality,dân tộc,active_years,height,spouse,children,relatives,notable_works
S.T Sơn Thạch,S.T Sơn Thạch,birth_date,Thành phố Hồ Chí Minh,"Ca sĩ, diễn viên",,Việt Nam,ethnicity,,,,,,
Jun Phạm,Jun Phạm,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Ca sĩ, Diễn viên, Nhà văn, Người dẫn chương trình",Trường Đại học Kinh tế Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2010–nay,"1,75m",,,,
Thành Lộc,Thành Lộc,birth_date,"Sài Gòn, Việt Nam Cộng hòa","Diễn viên, Doanh nhân, Đạo diễn sân khấu",,Việt Nam,ethnicity,,,,,,
Hồng Vân (diễn viên),Hồng Vân (diễn viên),birth_date,"Từ Sơn, Bắc Ninh, Việt Nam Dân chủ Cộng hòa","Diễn viên, Đạo diễn sân khấu, Nhà sản xuất, Doanh nhân",,Việt Nam,ethnicity,1989 – nay,,Lê Tuấn Anh (2005),3,,Danh sách
Diễm My 9x,Diễm My 9x,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, Người mẫu, Người dẫn chương trình","Trường Đại học Ngoại thương cơ sở II, Thành phố Hồ Chí Minh",Việt Nam,ethnicity,"1995 – 1998, 2005 – nay",,Vinh Nguyễn (2023),1,,
Diễm My,Diễm My,birth_date,,Diễn viên,,,ethnicity,,,,,,
Oanh Kiều,Oanh Kiều,birth_date,"Đà Lạt, Lâm Đồng, Việt Nam",Diễn viên,Trường Đại học Sân khấu – Điện ảnh Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2011–nay,,,,,
Vũ Hà Anh,Vũ Hà Anh,birth_date,,,,,ethnicity,,,,,,
Lê Khanh,Lê Khanh,birth_date,,"Diễn viên sân khấu, diễn viên điện ảnh, diễn viên truyền hình, đạo diễn, người mẫu",,Việt Nam,ethnicity,1970 – nay,,Phạm Việt Thanh,,,
Lê Xuân Tiền,Lê Xuân Tiền,birth_date,,,,,ethnicity,,,,,,
Bình An (diễn viên),Bình An (diễn viên),birth_date,"Thanh Ba, Phú Thọ, Việt Nam","Diễn viên, Người mẫu",,Việt Nam,ethnicity,2014–nay,"1,82m",Bùi Phương Nga (2022),,,
Khương Lê,Khương Lê,birth_date,,,,,ethnicity,,,,,,
Hoàng Dũng,Hoàng Dũng,birth_date,"Hà Nội, Việt Nam Dân chủ Cộng hòa",Diễn viên sân khấu,,Việt Nam,ethnicity,1983 – 2021,,,,,
Lê Khánh,Lê Khánh,birth_date,"Bến Tre, Việt Nam","Diễn viên, Người dẫn chương trình",,Việt Nam,ethnicity,,,Nguyễn Tuấn Khải (2014),2,,
Huỳnh Kiến An,Huỳnh Kiến An,birth_date,"Sài Gòn, Việt Nam Cộng hòa",Diễn viên,,,ethnicity,2004 - nay,,,,,
Anh Dũng (diễn viên),Anh Dũng (diễn viên),birth_date,"Thái Nguyên, Việt Nam",Diễn viên,,Việt Nam,ethnicity,2011 – nay,,,,,
Hạnh Thúy,Hạnh Thúy,birth_date,"Bến Tre, Việt Nam","Diễn viên, Đạo diễn sân khấu, Nhà biên kịch",Trường Đại học Sân khấu - Điện ảnh Thành phố Hồ Chí Minh,Việt Nam,ethnicity,1997 – nay,,Phan Nhất Phương,2,,
TyhD Thùy Dương,TyhD Thùy Dương,birth_date,,,,,ethnicity,,,,,,
Đế quốc thực dân Pháp,Đế quốc thực dân Pháp,birth_date,,,,,ethnicity,,,,,,
gái mại dâm,gái mại dâm,birth_date,,,,,ethnicity,,,,,,
Nguyễn Chánh Tín,Nguyễn Chánh Tín,birth_date,,"Diễn viên, Đạo diễn, Người dẫn chương trình",,Việt Nam,ethnicity,1973 – 2019,,,,,
Nguyễn Văn Đây,Nguyễn Văn Đây,birth_date,,,,,ethnicity,,,,,,
Nguyễn Thắng,Nguyễn Thắng,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Ca sĩ, diễn viên",,Hoa Kỳ,ethnicity,,,,,,
Stephane Gauger,Stephane Gauger,birth_date,"Sài Gòn, Việt Nam Cộng hòa","Đạo diễn phim, biên kịch, nhà quay phim.",,,ethnicity,,,,,,"''Cú và Chim sẻ'', ''Sài Gòn Yo!'' ''Yêu đi, đừng sợ!''"
David Minetti,David Minetti,birth_date,,,,,ethnicity,,,,,,
Quốc Cường,Quốc Cường,birth_date,,,,,ethnicity,,,,,,
Hoàng Phúc (diễn viên),Hoàng Phúc (diễn viên),birth_date,"Mỹ Tho, Việt Nam Cộng hòa",Diễn viên,,Việt Nam,ethnicity,1980– nay,1m78,Nguyễn Uyên Phương (từ 2015),,,
Lâm Minh Thắng,Lâm Minh Thắng,birth_date,,,,,ethnicity,,,,,,
Trần Bảo Sơn,Trần Bảo Sơn,birth_date,"Sài Gòn, Việt Nam Cộng hòa","Diễn viên, Doanh nhân",,Việt Nam,ethnicity,,,Trương Ngọc Ánh (2005),1,,
Phan Thị Mơ,Phan Thị Mơ,birth_date,"Cai Lậy, Tiền Giang, Việt Nam","Người mẫu, D diễn viên",,Việt Nam,ethnicity,2010 – nay,"1,72m",,,,
Xuân Phát,Xuân Phát,birth_date,,,,,ethnicity,,,,,,
Bùi Văn Hải,Bùi Văn Hải,birth_date,,,,,ethnicity,,,,,,
Kiều Mai Lý,Kiều Mai Lý,birth_date,Hậu Giang,Nghệ sĩ cải lương,,Việt Nam,ethnicity,,,,,,
Will,Will,birth_date,,,,,ethnicity,,,,,,
Chí Tâm,Chí Tâm,birth_date,,,,,ethnicity,,,,,,
Xuân Lan,Xuân Lan,birth_date,,,,,ethnicity,,,,,,
Tiểu Bảo Quốc,Tiểu Bảo Quốc,birth_date,,,,,ethnicity,,,,,,
phượng hoàng,phượng hoàng,birth_date,,,,,ethnicity,,,,,,
Đồng bằng sông Cửu Long,Đồng bằng sông Cửu Long,birth_date,,,,,ethnicity,,,,,,
Khả Ngân,Khả Ngân,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, Người mẫu",,Việt Nam,ethnicity,2012–nay,"1,55m",,,,
Phan Thanh Nhiên,Phan Thanh Nhiên,birth_date,"Châu Đức, Bà Rịa - Vũng Tàu, Việt Nam",Diễn Viên,,Việt Nam,ethnicity,,,,,,
Phạm Anh Khoa,Phạm Anh Khoa,birth_date,,,,,ethnicity,,,,,,
Lê Bình (diễn viên),Lê Bình (diễn viên),birth_date,,"Diễn viên, Soạn giả, Đạo diễn sân khấu, Họa sĩ tuyên truyền cổ động",,,ethnicity,1982 – 2019,,,,,
diễn viên đóng thế,diễn viên đóng thế,birth_date,,,,,ethnicity,,,,,,
Miền Bắc (Việt Nam),Miền Bắc (Việt Nam),birth_date,,,,,ethnicity,,,,,,
