person_id,name,birth_date,birth_place,occupation,education,nationality,dân tộc,active_years,height,spouse,children,relatives,notable_works
Nguyễn Du,Nguyễn Du,birth_date,,,,,ethnicity,,,,,,
Thanh Hoài (nghệ sĩ chèo),Thanh Hoài (nghệ sĩ chèo),birth_date,"Hưng Hà, Thái Bình, Việt Nam Dân chủ Cộng hòa",Diễn viên sân khấu,,,ethnicity,,,,,,
Nguyễn Vinh Sơn,Nguyễn Vinh Sơn,birth_date,"Huế, Quốc gia Việt Nam",Đạo diễn,,Việt Nam,ethnicity,1974–nay,,,,,
Bùi Bài Bình,Bùi Bài Bình,birth_date,,Diễn viên điện ảnh,,Việt Nam,ethnicity,1975 &ndash; nay,,,,,
Hoàng Yến (diễn viên),Hoàng Yến (diễn viên),birth_date,,,,,ethnicity,,,,,,
Nguyễn Thị Thu An,Nguyễn Thị Thu An,birth_date,,,,Việt Nam,ethnicity,,,,,,
Tuấn Dương,Tuấn Dương,birth_date,,"Diễn viên (hài, điện ảnh)",,,ethnicity,,,,,,
Việt Anh (diễn viên),Việt Anh (diễn viên),birth_date,,"Diễn viên, Đạo diễn, nhà sản xuất, Người dẫn chương trình",*Trường Đại học Kinh tế Quốc dân,Việt Nam,ethnicity,2004 – nay,,*Thùy Linh (2007) *Trần Hương (2016),2,,
Bích Ngọc,Bích Ngọc,birth_date,,,,,ethnicity,,,,,,
Kiều Thanh,Kiều Thanh,birth_date,"Hà Nội, Việt Nam","Diễn viên truyền hình, Diễn viên sân khấu, Diễn viên điện ảnh",,Việt Nam,ethnicity,2001 – nay,,,,,
Nguyễn Kim Trang,Nguyễn Kim Trang,birth_date,,,,,ethnicity,,,,,,
Thanh Thủy (diễn viên sinh năm 1937),Thanh Thủy (diễn viên sinh năm 1937),birth_date,"Hải Phòng, Liên bang Đông Dương",Diễn viên điện ảnh,,,ethnicity,1961 – 2014,,,,,
Kiến An (diễn viên),Kiến An (diễn viên),birth_date,"Sài Gòn, Việt Nam Cộng hòa",Diễn viên,,,ethnicity,2004 - nay,,,,,
Nguyệt Hằng,Nguyệt Hằng,birth_date,,Diễn viên,,,ethnicity,,,Phạm Anh Tuấn,4,,
Diệu Thuần,Diệu Thuần,birth_date,"Cát Hải, Hải Phòng, Việt Nam Dân chủ Cộng hòa",Diễn viên,,,ethnicity,1978 - 2020,,,,,
Quang Tèo,Quang Tèo,birth_date,,,,Việt Nam,ethnicity,,,,,,
Thu Hương,Thu Hương,birth_date,Hà Nội,Diễn viên,,,ethnicity,,,,,,
Thanh Quý,Thanh Quý,birth_date,,Diễn viên,,Việt Nam,ethnicity,1976 – nay,,Thành Chương (họa sĩ) (1985-2004),,,
Vũ Hà (ca sĩ),Vũ Hà (ca sĩ),birth_date,"Sài Gòn, Việt Nam Cộng hòa",*Ca sĩ *Diễn viên *Người mẫu *Chuyên gia trang điểm,,,ethnicity,,,,,,
danh đề,danh đề,birth_date,,,,,ethnicity,,,,,,
Mel Gibson,Mel Gibson,birth_date,,,,,ethnicity,,,,,,
Harold G. Moore,Harold G. Moore,birth_date,,,,,ethnicity,,,,,,
Madeleine Stowe,Madeleine Stowe,birth_date,"Los Angeles, California, Hoa Kỳ",Diễn viên,,,ethnicity,,,Brian Benben (1982–nay),May Benben,,
Nguyễn Hữu An,Nguyễn Hữu An,birth_date,,,,,ethnicity,,,,,,
Sam Elliott,Sam Elliott,birth_date,,,,,ethnicity,,,,,,
Greg Kinnear,Greg Kinnear,birth_date,,,,,ethnicity,,,,,,
Chris Klein,Chris Klein,birth_date,,,,,ethnicity,,,,,,
Keri Russell,Keri Russell,birth_date,"Fountain Valley, California, Mỹ","Diễn viên, vũ công",,,ethnicity,1988–nay,,Shane Deary (2007),3,,
Barry Pepper,Barry Pepper,birth_date,,,,,ethnicity,,,,,,
Marc Blucas,Marc Blucas,birth_date,,,,,ethnicity,,,,,,
Ryan Hurst,Ryan Hurst,birth_date,,,,,ethnicity,,,,,,
Jsu Garcia,Jsu Garcia,birth_date,,,,,ethnicity,,,,,,
Jon Hamm,Jon Hamm,birth_date,"St. Louis, Missouri, Mỹ","Diễn viên, đạo diễn",,,ethnicity,,,,,,
Clark Gregg,Clark Gregg,birth_date,"Boston, Massachusetts, Mỹ","Diễn viên, đạo diễn, biên kịch, lồng tiếng",Đại học New York,,ethnicity,1988–nay,,Jennifer Grey (2001),1,,
Đinh Đức Thiện,Đinh Đức Thiện,birth_date,,,,,ethnicity,,,,,,
Lã Thanh Huyền,Lã Thanh Huyền,birth_date,"Hà Nội, Việt Nam","Diễn viên, Người dẫn chương trình, Người mẫu, Doanh nhân",Cao đẳng Nghệ thuật Hà Nội,,ethnicity,,"m= 1,60, frac= 2",Hoàng Trần Anh (2011),1,,
Tiến Lộc (diễn viên),Tiến Lộc (diễn viên),birth_date,"Phú Bình, Thái Nguyên",Diễn viên,,Việt Nam,ethnicity,2005–nay,,,,,
Dũng Nhi,Dũng Nhi,birth_date,"Hà Nội, Việt Nam Dân chủ Cộng hòa","Diễn viên , Giáo viên (đã thôi việc)",Đại học sư phạm,,ethnicity,1973 -,,,,,
Thiện Tùng,Thiện Tùng,birth_date,Hà Nội,Diễn viên,,,ethnicity,,,,,,
Tùng Maru,Tùng Maru,birth_date,,,,,ethnicity,,,,,,
Khánh Như,Khánh Như,birth_date,,,,,ethnicity,,,,,,
Lê Khắc Minh,Lê Khắc Minh,birth_date,,,,,ethnicity,,,,,,
Lâm Văn Quốc,Lâm Văn Quốc,birth_date,,,,,ethnicity,,,,,,
Phương Quỳnh,Phương Quỳnh,birth_date,,,,,ethnicity,,,,,,
Nguyễn Gia Linh,Nguyễn Gia Linh,birth_date,,,,,ethnicity,,,,,,
Gina M,Gina M,birth_date,,,,,ethnicity,,,,,,
Kang Phạm,Kang Phạm,birth_date,,,,,ethnicity,,,,,,
Bạch Tuyết (nghệ sĩ cải lương),Bạch Tuyết (nghệ sĩ cải lương),birth_date,"An Phú, An Giang, Liên bang Đông Dương","Diễn viên sân khấu, Nhà viết kịch, Diễn viên điện ảnh, Nhà nghiên cứu",,Việt Nam,ethnicity,"1971–1973, 2018",,,,,
Phạm Thị Ngọc Trinh,Phạm Thị Ngọc Trinh,birth_date,"Sài Gòn, Việt Nam Cộng hòa","Diễn viên, đạo diễn sân khấu, giảng viên",Nghệ thuật Sân khấu 2,,ethnicity,1990–2025,,Kim Se-hyuk (2009),,,
Hoa Thúy,Hoa Thúy,birth_date,"Đông Anh, Hà Nội, Việt Nam",Diễn viên,,,ethnicity,1997 – nay,,"Tùng Dương (1997), Peter Lê (2010)",,,
Đức Sơn (diễn viên),Đức Sơn (diễn viên),birth_date,Hà Nội,Diễn viên,,,ethnicity,,,,,,
Minh Châu (diễn viên),Minh Châu (diễn viên),birth_date,,"Diễn viên điện ảnh, diễn viên truyền hình",,Việt Nam,ethnicity,1980 – nay,,,,,
Cao Minh Đạt,Cao Minh Đạt,birth_date,,Diễn viên,,Việt Nam,ethnicity,1995 – nay,,,,,
Lê Hồng Quang (diễn viên),Lê Hồng Quang (diễn viên),birth_date,,Diễn viên,,,ethnicity,1996 - nay,,,,,
Nguyễn Vĩnh Xương,Nguyễn Vĩnh Xương,birth_date,"Hà Nội, Việt Nam Dân chủ Cộng hòa",Diễn viên,,Việt Nam,ethnicity,2002–nay,,,,,
Quốc Tuấn (diễn viên),Quốc Tuấn (diễn viên),birth_date,Hà Nội,"Diễn viên, Đạo diễn",,,ethnicity,1994 – nay,,,,,
Hoàng Lan (diễn viên),Hoàng Lan (diễn viên),birth_date,,"Diễn viên điện ảnh, diễn viên truyền hình, Diễn viên sân khấu",,Việt Nam,ethnicity,,,,,,
Trần Hạnh,Trần Hạnh,birth_date,,"Diễn viên sân khấu, Diễn viên truyền hình, Diễn viên điện ảnh",,25px Việt Nam,ethnicity,,,,,,
ếch,ếch,birth_date,,,,,ethnicity,,,,,,
thác,thác,birth_date,,,,,ethnicity,,,,,,
Rocker Nguyen,Rocker Nguyen,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Ca sĩ, Nhạc sĩ, Người dẫn chương trình, Người mẫu ảnh, Vlogger, Diễn viên điện ảnh, Diễn viên truyền hình",Đại học Monash,Việt Nam,ethnicity,"2017 – 2018, 2022 – nay",,,,,
